id,folder,strain_type,strain_magnitude,shear_g1,shear_g2,shear_g3,triaxial_ex,triaxial_ey,triaxial_ez,shear_planes,n_shear_planes,volume_A3,n_atoms,a_lat_x_A,a_lat_y_A,a_lat_z_A,alpha_deg,beta_deg,gamma_deg,bond_nn_A,E_total_cell_eV,E_per_atom_eV,strain_energy_density_eV_A3,E_xx,E_yy,E_zz,E_xy,E_yz,E_zx,F_xx,F_xy,F_xz,F_yx,F_yy,F_yz,F_zx,F_zy,F_zz,J_detF,volumetric_strain,deviatoric_strain_J2,E_principal_1,E_principal_2,E_principal_3,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xy_GPa,sigma_yz_GPa,sigma_zx_GPa,hydrostatic_stress_GPa,von_mises_stress_GPa,sigma_principal_1_GPa,sigma_principal_2_GPa,sigma_principal_3_GPa,Eg_eV,VBM_eV,CBM_eV,E_fermi_eV,is_direct_bandgap,functional
-1,zero_strain_reference,unstrained,0,0,0,0,0,0,0,none,0,11.4128230000001,2,2.52717913097707,2.52717913093857,2.52717913096337,60.000000000746,59.9999999998208,59.9999999994962,1.54757483985597,-18.18410709,-9.092053545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.409332,9.014017,14.423349,9.1055,False,GGA-PBE+HSE06
0,Vol_10.05/1-GGA-PBE,isotropic,-0.119411560137229,0,0,0,0,0,0,none,0,10.05,2,2.42229492827438,2.42229492823749,2.42229492826125,60.000000000746,59.9999999998208,59.9999999994962,1.48334664518174,-17.91577168,-8.95788584,0.0235117472688397,-0.0406412525938366,-0.0406412525938365,-0.0406412525938366,-1.89197054486121E-17,2.25654666822825E-17,-1.06177961680239E-17,0.958497519460706,0,0,-3.94778391482059E-17,0.958497519460706,0,-2.21550832473681E-17,4.70850810234311E-17,0.958497519460706,0.88058843986277,-0.12192375778151,5.09656839244486E-33,-0.0406412525938366,-0.0406412525938366,-0.0406412525938365,-69.038651,-69.038668,-69.038672,0.000014,0.000006,0.00001,-69.0386636666667,3.69999999964401E-05,-69.0386763273531,-69.0386756697247,-69.0386390029222,5.810236,10.860758,16.670994,10.9094,False,GGA-PBE+HSE06
2,Vol_10.1/1-GGA-PBE,isotropic,-0.115030523122987,0,0,0,0,0,0,none,0,10.1,2,2.42630535766369,2.42630535762673,2.42630535765054,60.000000000746,59.9999999998208,59.9999999994962,1.48580252159503,-17.93689011,-8.968445055,0.0216613347985857,-0.0391189352050895,-0.0391189352050892,-0.0391189352050892,-4.10907883242123E-17,1.18284860803846E-17,-3.30556884556682E-17,0.960084438781205,0,0,-8.55982800354011E-17,0.960084438781205,0,-6.88599608960048E-17,2.46405120270472E-17,0.960084438781205,0.884969476877012,-0.117356805615268,1.93636714075433E-32,-0.0391189352050895,-0.0391189352050893,-0.0391189352050892,-65.739353,-65.739379,-65.739377,0.000018,0.000009,0.000014,-65.7393696666667,4.93051721391486E-05,-65.7393886858777,-65.7393833742001,-65.7393369399222,5.7982,10.783041,16.581241,10.9447,False,GGA-PBE+HSE06
4,Vol_10.15/1-GGA-PBE,isotropic,-0.110649486108744,0,0,0,0,0,0,none,0,10.15,2,2.43030257305774,2.43030257302073,2.43030257304457,60.000000000746,59.9999999998208,59.9999999994962,1.48825030612185,-17.95708373,-8.978541865,0.0198919548651547,-0.0375991278316624,-0.0375991278316622,-0.0375991278316623,-5.19756675126702E-17,1.7755646798273E-17,-3.46954746535073E-17,0.961666129348786,0,0,-1.08095036159518E-16,0.961666129348786,0,-7.21570066671728E-17,3.69268423965325E-17,0.961666129348786,0.889350513891256,-0.112797383494987,1.65464606121231E-32,-0.0375991278316624,-0.0375991278316623,-0.0375991278316622,-62.502577,-62.502596,-62.502586,0.000013,0.000006,0.00001,-62.5025863333333,3.44383507192015E-05,-62.5026026554948,-62.5025921552287,-62.5025641892766,5.786049,10.706145,16.492194,10.8529,False,GGA-PBE+HSE06
6,Vol_10.20/1-GGA-PBE,isotropic,-0.106268449094502,0,0,0,0,0,0,none,0,10.2,2,2.43428668276875,2.43428668273168,2.43428668275556,60.000000000746,59.9999999998208,59.9999999994962,1.49069006508963,-17.97635571,-8.988177855,0.0182033297107999,-0.0360818140008076,-0.0360818140008075,-0.0360818140008076,-1.90701217223294E-17,3.08769247716916E-18,2.22460538577634E-19,0.963242634022386,0,0,-3.95956762060975E-17,0.963242634022386,0,4.61899277960041E-19,6.41103781769983E-18,0.963242634022386,0.893731550905499,-0.108245442002423,4.48992813215697E-33,-0.0360818140008076,-0.0360818140008076,-0.0360818140008075,-59.323105,-59.323122,-59.323122,0.00001,0.000006,0.000007,-59.3231163333333,2.90516780924992E-05,-59.3231283840934,-59.3231234387461,-59.3230971771605,5.774041,10.62987,16.403911,10.7612,False,GGA-PBE+HSE06
8,Vol_10.25/1-GGA-PBE,isotropic,-0.101887412080259,0,0,0,0,0,0,none,0,10.25,2,2.43825779369539,2.43825779365825,2.43825779368218,60.000000000746,59.9999999998208,59.9999999994962,1.49312186396016,-17.994483,-8.9972415,0.0166150031416418,-0.0345669774280384,-0.0345669774280383,-0.0345669774280383,-1.82819182844012E-17,-9.86130061039274E-18,-4.00698396233324E-17,0.964813995101607,0,0,-3.78972908295674E-17,0.964813995101607,0,-8.30623100965954E-17,-2.04418689207638E-17,0.964813995101607,0.898112587919741,-0.103700932284115,6.15374108945335E-33,-0.0345669774280385,-0.0345669774280383,-0.0345669774280383,-56.228398,-56.228409,-56.228412,0.000007,0.000004,0.000005,-56.2284063333333,2.08086520455175E-05,-56.2284147738497,-56.228411647308,-56.2283925788423,5.762096,10.554288,16.316384,10.6712,False,GGA-PBE+HSE06
10,Vol_10.3/1-GGA-PBE,isotropic,-0.0975063750660162,0,0,0,0,0,0,none,0,10.3,2,2.44221601134801,2.44221601131081,2.44221601133477,60.000000000746,59.9999999998208,59.9999999994962,1.49554576734508,-18.01178724,-9.00589362,0.0150987928227749,-0.0330546020140715,-0.0330546020140716,-0.0330546020140715,1.96593976650011E-17,1.32763955509415E-17,1.20694984955734E-17,0.966380254336696,0,0,4.06866708560697E-17,0.966380254336696,0,2.4978777125072E-17,2.74765455758493E-17,0.966380254336696,0.902493624933983,-0.0991638060422145,4.82510264543807E-33,-0.0330546020140716,-0.0330546020140715,-0.0330546020140714,-53.18216,-53.182164,-53.182167,0.000005,0.000001,0.000003,-53.1821636666667,1.19163752924954E-05,-53.1821684605492,-53.1821667558307,-53.1821557836202,5.750248,10.47932,16.229568,10.582,False,GGA-PBE+HSE06
12,Vol_10.35/1-GGA-PBE,isotropic,-0.0931253380517737,0,0,0,0,0,0,none,0,10.35,2,2.44616143987333,2.44616143983607,2.44616143986007,60.000000000746,59.9999999998208,59.9999999994962,1.49796183902096,-18.02803016,-9.01401508,0.0136755761479872,-0.0315446718418317,-0.0315446718418317,-0.0315446718418316,-5.33161669976042E-18,2.19407721381475E-17,-2.84310422291886E-17,0.967941452938315,0,0,-1.10164032826068E-17,0.967941452938315,0,-5.87453758548771E-17,4.5334915808272E-17,0.967941452938315,0.906874661948225,-0.0946340155254951,5.4348230370169E-33,-0.0315446718418318,-0.0315446718418317,-0.0315446718418316,-50.209888,-50.209888,-50.209889,0.000007,0,0.000005,-50.2098883333333,1.4933184522899E-05,-50.2098967869505,-50.2098886601607,-50.2098795528887,5.738471,10.405009,16.14348,10.4935,False,GGA-PBE+HSE06
14,Vol_10.40/1-GGA-PBE,isotropic,-0.088744301037531,0,0,0,0,0,0,none,0,10.4,2,2.45009418207856,2.45009418204124,2.45009418206528,60.000000000746,59.9999999998208,59.9999999994962,1.50037014194411,-18.04338946,-9.02169473,0.0123297829117301,-0.0300371711735217,-0.0300371711735216,-0.0300371711735216,-1.86295662774856E-17,2.09758007607373E-17,-2.30120207109984E-17,0.96949763158708,0,0,-3.84313806873129E-17,0.96949763158708,0,-4.7472051423844E-17,4.3271484276655E-17,0.96949763158708,0.91125569896247,-0.0901115135205648,5.4272547794963E-33,-0.0300371711735217,-0.0300371711735216,-0.0300371711735215,-47.296528,-47.296524,-47.296538,0.000003,-0.000001,0.000002,-47.29653,1.40712472787476E-05,-47.2965385582961,-47.2965290475132,-47.2965223941906,5.726759,10.331318,16.058077,10.4058,False,GGA-PBE+HSE06
16,Vol_10.45/1-GGA-PBE,isotropic,-0.0843632640232884,0,0,0,0,0,0,none,0,10.45,2,2.45401433945495,2.45401433941757,2.45401433944165,60.000000000746,59.9999999998208,59.9999999994962,1.50277073826497,-18.05789491,-9.028947455,0.0110588046445651,-0.0285320844477519,-0.0285320844477518,-0.0285320844477518,-3.78414904390693E-17,-2.80256631642814E-17,-3.72108200212717E-17,0.971048830442886,0,0,-7.79394181893204E-17,0.971048830442886,0,-7.66404713227454E-17,-5.77224590271103E-17,0.971048830442886,0.915636735976712,-0.0855962533432555,7.71271804615491E-33,-0.0285320844477519,-0.0285320844477518,-0.0285320844477518,-44.437554,-44.437566,-44.437565,0.000004,0.000004,0.000003,-44.4375616666667,1.59999999994411E-05,-44.4375696121808,-44.4375638571018,-44.4375515307174,5.715191,10.258181,15.973372,10.3188,False,GGA-PBE+HSE06
18,Vol_10.5/1-GGA-PBE,isotropic,-0.0799822270090457,0,0,0,0,0,0,none,0,10.5,2,2.45792201220086,2.45792201216343,2.45792201218754,60.000000000746,59.9999999998208,59.9999999994962,1.50516368934226,-18.07146019,-9.035730095,0.00987020476879391,-0.0270293962767251,-0.0270293962767251,-0.0270293962767251,-5.86476466047407E-18,1.52308825521851E-17,-1.20235777449576E-17,0.972595089154037,0,0,-1.20600334627954E-17,0.972595089154037,0,-2.47247346383698E-17,3.13200893609958E-17,0.972595089154037,0.920017772990955,-0.0810881888301752,4.10941669630241E-34,-0.0270293962767251,-0.0270293962767251,-0.0270293962767251,-41.646826,-41.646828,-41.646833,-0.000002,0,-0.000001,-41.646829,7.34846923090436E-06,-41.6468331567146,-41.6468291669251,-41.6468246763603,5.703612,10.185747,15.889359,10.2326,False,GGA-PBE+HSE06
20,Vol_10.55/1-GGA-PBE,isotropic,-0.075601189994803,0,0,0,0,0,0,none,0,10.55,2,2.46181729924431,2.46181729920681,2.46181729923097,60.000000000746,59.9999999998208,59.9999999994962,1.50754905575676,-18.08423796,-9.04211898,0.00875060710220436,-0.0255290914434876,-0.0255290914434876,-0.0255290914434876,9.65112567133922E-19,1.21921697611889E-17,-5.57932212223891E-18,0.974136446866159,0,0,1.98147306825185E-18,0.974136446866159,0,-1.14549088891763E-17,2.50317495057529E-17,0.974136446866159,0.924398810005198,-0.0765872743304629,1.80709281096594E-34,-0.0255290914434877,-0.0255290914434876,-0.0255290914434876,-38.9019,-38.901902,-38.901876,-0.000003,0.000001,-0.000003,-38.9018926666667,2.61725046541218E-05,-38.9019041954973,-38.9018982445563,-38.9018755599464,5.692097,10.11389,15.805987,10.1882,False,GGA-PBE+HSE06
22,Vol_10.60/1-GGA-PBE,isotropic,-0.0712201529805605,0,0,0,0,0,0,none,0,10.6,2,2.46570029826497,2.46570029822742,2.46570029825161,60.000000000746,59.9999999998208,59.9999999994962,1.50992689732481,-18.09596667,-9.047983335,0.00772292884941802,-0.0240311548992307,-0.0240311548992307,-0.0240311548992307,4.87383713688686E-19,-4.82956817280234E-18,1.41334409379029E-17,0.975672942230919,0,0,9.99071907383762E-19,0.975672942230919,0,2.89716775492127E-17,-9.899973574668E-18,0.975672942230919,0.92877984701944,-0.0720934646976922,2.23316424365305E-34,-0.0240311548992308,-0.0240311548992307,-0.0240311548992307,-36.235819,-36.235817,-36.235821,-0.000001,-0.000001,-0.000001,-36.235819,4.58257569764766E-06,-36.2358217784571,-36.2358187108314,-36.2358165107114,5.680665,10.042668,15.723333,10.1033,False,GGA-PBE+HSE06
