id,folder,strain_type,strain_magnitude,shear_g1,shear_g2,shear_g3,triaxial_ex,triaxial_ey,triaxial_ez,shear_planes,n_shear_planes,volume_A3,n_atoms,a_lat_x_A,a_lat_y_A,a_lat_z_A,alpha_deg,beta_deg,gamma_deg,bond_nn_A,E_total_cell_eV,E_per_atom_eV,strain_energy_density_eV_A3,E_xx,E_yy,E_zz,E_xy,E_yz,E_zx,F_xx,F_xy,F_xz,F_yx,F_yy,F_yz,F_zx,F_zy,F_zz,J_detF,volumetric_strain,deviatoric_strain_J2,E_principal_1,E_principal_2,E_principal_3,sigma_xx_GPa,sigma_yy_GPa,sigma_zz_GPa,sigma_xy_GPa,sigma_yz_GPa,sigma_zx_GPa,hydrostatic_stress_GPa,von_mises_stress_GPa,sigma_principal_1_GPa,sigma_principal_2_GPa,sigma_principal_3_GPa,scf_converged,ionic_converged,n_ionic_steps,n_elec_last,Eg_eV,VBM_eV,CBM_eV,E_fermi_eV,is_direct_bandgap,vbm_kpt_index,cbm_kpt_index,vbm_kx,vbm_ky,vbm_kz,cbm_kx,cbm_ky,cbm_kz,extract_status,functional
-1,zero_strain_reference,unstrained,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,0,11.412823000000063,2,2.527179130977065,2.527179130938574,2.527179130963371,60.00000000074597,59.99999999982075,59.999999999496175,1.5475748398559666,-18.18410709,-9.092053545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,5.409331999999999,9.014017,14.423349,9.1055,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,1.132439e-16,ok,GGA-PBE+HSE06
0,Vol_10.05/1-GGA-PBE,isotropic,-0.11941156013722942,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.049999999999988,2,2.42229492827438,2.4222949282374864,2.422294928261254,60.00000000074597,59.99999999982075,59.999999999496175,1.4833466451817439,-17.91577168,-8.95788584,0.023511747268839697,-0.04064125259383661,-0.0406412525938365,-0.04064125259383661,2.149319538320652e-17,-9.14533333095028e-18,-4.359469935091247e-18,0.9584975194607062,4.484768076457738e-17,-9.096465763508873e-18,0.0,0.9584975194607063,-1.9082643711161307e-17,0.0,0.0,0.9584975194607062,0.8805884398627695,-0.12192375778150971,4.681274803757561e-33,-0.040641252593836615,-0.04064125259383661,-0.04064125259383649,-69.038651,-69.038668,-69.03867199999999,1.3999999999999998e-05,6e-06,1e-05,-69.03866366666666,3.6999999996440115e-05,-69.03867632735306,-69.03867566972465,-69.03863900292224,True,True,1.0,11.0,5.810236,10.860758,16.670994,10.9094,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,2.092436e-16,ok,GGA-PBE+HSE06
2,Vol_10.1/1-GGA-PBE,isotropic,-0.11503052312298688,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.099999999999985,2,2.4263053576636886,2.426305357626734,2.4263053576505413,60.00000000074597,59.99999999982075,59.999999999496175,1.485802521595029,-17.93689011,-8.968445055,0.021661334798585737,-0.03911893520508947,-0.039118935205089245,-0.039118935205089245,1.4671131296223646e-17,8.542505955579446e-19,1.0702834003748433e-18,0.9600844387812049,3.056216870851101e-17,2.2295609784771272e-18,0.0,0.9600844387812051,1.7795322183169368e-18,0.0,0.0,0.9600844387812051,0.884969476877012,-0.11735680561526796,1.6659744244354185e-32,-0.03911893520508947,-0.03911893520508925,-0.039118935205089245,-65.73935300000001,-65.739379,-65.739377,1.8e-05,9e-06,1.3999999999999998e-05,-65.73936966666668,4.93051721391486e-05,-65.7393886858777,-65.73938337420013,-65.73933693992223,True,True,1.0,11.0,5.798199999999998,10.783041,16.581241,10.9447,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,1.801558e-16,ok,GGA-PBE+HSE06
4,Vol_10.15/1-GGA-PBE,isotropic,-0.11064948610874419,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.150000000000002,2,2.430302573057742,2.4303025730207266,2.430302573044573,60.00000000074597,59.99999999982075,59.999999999496175,1.4882503061218546,-17.95708373,-8.978541865,0.019891954865154677,-0.037599127831662416,-0.037599127831662194,-0.037599127831662305,1.2257014306778652e-17,8.295076339620641e-18,9.656119567501505e-18,0.9616661293487856,2.549120517549843e-17,2.0082062314163793e-17,0.0,0.9616661293487858,1.725146823095005e-17,0.0,0.0,0.9616661293487857,0.889350513891256,-0.11279738349498691,1.2638234980376903e-32,-0.037599127831662416,-0.037599127831662305,-0.03759912783166218,-62.502576999999995,-62.502596000000004,-62.502585999999994,1.3e-05,6e-06,1e-05,-62.50258633333333,3.443835071920147e-05,-62.50260265549475,-62.50259215522869,-62.50256418927657,True,True,1.0,11.0,5.786049000000002,10.706145,16.492194,10.8529,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,1.563135e-16,ok,GGA-PBE+HSE06
6,Vol_10.20/1-GGA-PBE,isotropic,-0.10626844909450163,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.200000000000005,2,2.4342866827687533,2.4342866827316776,2.4342866827555625,60.000000000745985,59.99999999982075,59.99999999949618,1.4906900650896342,-17.97635571,-8.988177855,0.01820332971079987,-0.036081814000807566,-0.036081814000807455,-0.036081814000807566,3.194013698631799e-18,-2.4370702640839863e-17,5.097586520340161e-18,0.9632426340223863,6.631794702221556e-18,1.058422113035684e-17,0.0,0.9632426340223864,-5.060137867666989e-17,0.0,0.0,0.9632426340223863,0.8937315509054989,-0.10824544200242259,4.746793515175357e-33,-0.03608181400080759,-0.036081814000807566,-0.03608181400080746,-59.323105,-59.323122,-59.323122,1e-05,6e-06,6.999999999999999e-06,-59.32311633333333,2.905167809249919e-05,-59.32312838409341,-59.323123438746116,-59.32309717716047,True,True,1.0,11.0,5.774041,10.62987,16.403911,10.7612,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,1.484181e-16,ok,GGA-PBE+HSE06
8,Vol_10.25/1-GGA-PBE,isotropic,-0.10188741208025894,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.250000000000002,2,2.4382577936953886,2.4382577936582526,2.4382577936821765,60.000000000745985,59.99999999982075,59.999999999496175,1.4931218639601644,-17.994483,-8.9972415,0.016615003141641757,-0.03456697742803844,-0.034566977428038326,-0.034566977428038326,-1.074229599317296e-17,1.6060731406397563e-17,-2.186186906229293e-17,0.9648139951016067,-2.2268118098850058e-17,-4.5318308343963455e-17,0.0,0.9648139951016068,3.3292907208930295e-17,0.0,0.0,0.9648139951016068,0.8981125879197412,-0.10370093228411509,4.9679605915379425e-33,-0.034566977428038444,-0.03456697742803835,-0.034566977428038305,-56.228398000000006,-56.228409,-56.228412000000006,6.999999999999999e-06,4.000000000000001e-06,5e-06,-56.22840633333334,2.0808652045517526e-05,-56.228414773849664,-56.228411647308036,-56.22839257884232,True,True,1.0,11.0,5.762096,10.554288,16.316384,10.6712,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,2.841899e-16,ok,GGA-PBE+HSE06
10,Vol_10.3/1-GGA-PBE,isotropic,-0.09750637506601623,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.299999999999986,2,2.4422160113480063,2.4422160113108093,2.442216011334773,60.00000000074598,59.99999999982075,59.999999999496175,1.4955457673450805,-18.01178724,-9.00589362,0.015098792822774872,-0.033054602014071455,-0.033054602014071566,-0.033054602014071455,1.833371722934005e-19,1.475519563622248e-17,2.3418279118248593e-17,0.9663802543366959,3.794307085035372e-19,4.8465971884581664e-17,0.0,0.9663802543366958,3.05370387484793e-17,0.0,0.0,0.9663802543366959,0.9024936249339827,-0.09916380604221448,4.882840463769859e-33,-0.03305460201407157,-0.033054602014071496,-0.03305460201407141,-53.182159999999996,-53.182164,-53.18216700000001,5e-06,1.0000000000000002e-06,3e-06,-53.18216366666667,1.1916375292495445e-05,-53.182168460549164,-53.18216675583068,-53.18215578362015,True,True,1.0,11.0,5.750248000000001,10.47932,16.229568,10.582,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,6.433372e-16,ok,GGA-PBE+HSE06
12,Vol_10.35/1-GGA-PBE,isotropic,-0.09312533805177368,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.349999999999989,2,2.446161439873329,2.446161439836072,2.446161439860074,60.00000000074597,59.99999999982075,59.999999999496175,1.4979618390209646,-18.02803016,-9.01401508,0.013675576147987246,-0.03154467184183174,-0.03154467184183174,-0.03154467184183163,8.504689974673971e-18,4.339470544042974e-17,2.2872314685384754e-17,0.9679414529383151,1.7572736344449042e-17,4.7259706908827594e-17,0.0,0.9679414529383151,8.966390541225263e-17,0.0,0.0,0.9679414529383152,0.9068746619482253,-0.09463401552549511,6.595248247021966e-33,-0.03154467184183175,-0.03154467184183174,-0.0315446718418316,-50.209888,-50.209888,-50.209889,6.999999999999999e-06,0.0,5e-06,-50.20988833333333,1.4933184522899008e-05,-50.2098967869505,-50.20988866016072,-50.20987955288872,True,True,1.0,11.0,5.7384710000000005,10.405009,16.14348,10.4935,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,3.853922e-16,ok,GGA-PBE+HSE06
14,Vol_10.40/1-GGA-PBE,isotropic,-0.08874430103753098,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.40000000000001,2,2.4500941820785584,2.4500941820412416,2.4500941820652824,60.00000000074597,59.99999999982075,59.999999999496175,1.5003701419441138,-18.04338946,-9.02169473,0.0123297829117301,-0.03003717117352167,-0.03003717117352156,-0.03003717117352156,1.766812904218236e-17,6.0026644503326495e-18,4.773002243806244e-18,0.9694976315870796,3.644800867282041e-17,9.846341214867705e-18,0.0,0.9694976315870797,1.2383040978668948e-17,0.0,0.0,0.9694976315870797,0.9112556989624699,-0.09011151352056479,4.481633039825382e-33,-0.03003717117352167,-0.030037171173521563,-0.030037171173521556,-47.296528,-47.296524,-47.296538,3e-06,-1.0000000000000002e-06,2.0000000000000003e-06,-47.29653,1.4071247278747606e-05,-47.296538558296135,-47.29652904751324,-47.2965223941906,True,True,1.0,11.0,5.726759000000001,10.331318,16.058077,10.4058,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,7.401687e-17,ok,GGA-PBE+HSE06
16,Vol_10.45/1-GGA-PBE,isotropic,-0.08436326402328843,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.450000000000001,2,2.454014339454947,2.4540143394175713,2.45401433944165,60.000000000745985,59.99999999982075,59.99999999949618,1.5027707382649729,-18.05789491,-9.028947455,0.011058804644565053,-0.028532084447751904,-0.028532084447751793,-0.028532084447751793,1.0379153377447082e-17,-2.1021790787188984e-17,-6.084263167675489e-19,0.9710488304428857,2.1377201747337987e-17,-1.2531322786106476e-18,0.0,0.9710488304428858,-4.329708275865211e-17,0.0,0.0,0.9710488304428858,0.9156367359767117,-0.08559625334325549,4.6606694203673567e-33,-0.028532084447751904,-0.028532084447751814,-0.028532084447751772,-44.437554,-44.437566,-44.437565,4.000000000000001e-06,4.000000000000001e-06,3e-06,-44.43756166666666,1.599999999944106e-05,-44.437569612180766,-44.43756385710178,-44.437551530717435,True,True,1.0,11.0,5.715190999999999,10.258181,15.973372,10.3188,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,-8.493509e-17,ok,GGA-PBE+HSE06
18,Vol_10.5/1-GGA-PBE,isotropic,-0.07998222700904574,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.500000000000009,2,2.457922012200861,2.4579220121634253,2.4579220121875425,60.00000000074598,59.99999999982075,59.999999999496175,1.5051636893422589,-18.07146019,-9.035730095,0.00987020476879391,-0.02702939627672507,-0.02702939627672507,-0.02702939627672507,-1.805788653738278e-17,9.776044672219793e-18,1.032368168794784e-17,0.9725950891540374,-3.713341088960159e-17,2.122914623582435e-17,0.0,0.9725950891540374,2.0103010556475237e-17,0.0,0.0,0.9725950891540374,0.9200177729909549,-0.08108818883017521,5.282367192242968e-34,-0.027029396276725102,-0.027029396276725064,-0.027029396276725053,-41.646826,-41.646828,-41.646833,-2.0000000000000003e-06,0.0,-1.0000000000000002e-06,-41.646829000000004,7.348469230904355e-06,-41.64683315671459,-41.64682916692505,-41.646824676360346,True,True,1.0,11.0,5.7036120000000015,10.185747,15.889359,10.2326,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,2.064861e-16,ok,GGA-PBE+HSE06
20,Vol_10.55/1-GGA-PBE,isotropic,-0.07560118999480303,0.0,0.0,0.0,0.0,0.0,0.0,none,0,10.550000000000015,2,2.4618172992443053,2.46181729920681,2.4618172992309653,60.00000000074597,59.99999999982075,59.999999999496175,1.5075490557567561,-18.08423796,-9.04211898,0.008750607102204364,-0.02552909144348764,-0.02552909144348764,-0.02552909144348764,-2.106688982463944e-18,2.6984238209017058e-17,-4.654538658745906e-19,0.9741364468661589,-4.325244146733773e-18,-9.55623552269247e-19,0.0,0.9741364468661589,5.5401352235257344e-17,0.0,0.0,0.9741364468661589,0.9243988100051983,-0.07658727433046292,7.328038974910687e-34,-0.025529091443487667,-0.02552909144348764,-0.02552909144348761,-38.9019,-38.901902,-38.901876,-3e-06,1.0000000000000002e-06,-3e-06,-38.90189266666666,2.6172504654121808e-05,-38.901904195497316,-38.90189824455633,-38.90187555994638,True,True,1.0,11.0,5.692097,10.11389,15.805987,10.1882,False,0,103,0.0,0.0,0.0,0.4285714,0.4285714,-7.028775e-17,ok,GGA-PBE+HSE06
